,Unnamed: 0,Weapon,Kills,Damage,Shots,Hits,Accuracy,Cumulative play time,Player,Competition
19,,Peacekeeper,0,0,-,-,-,0h 0m 2s,DROPPED OG,Y3-Split2 ALGS-Playoffs
20,,Mastiff Shotgun,0,0,-,-,-,0h 0m 1s,DROPPED OG,Y3-Split2 ALGS-Playoffs
21,,30-30 Repeater,0,99,43,2,4.65%,0h 8m 7s,DROPPED OG,Y3-Split2 ALGS-Playoffs
22,,Arc Star,0,364,-,7,-,0h 0m 0s,DROPPED OG,Y3-Split2 ALGS-Playoffs
23,,Alternator SMG,0,186,72,12,16.67%,0h 1m 37s,DROPPED OG,Y3-Split2 ALGS-Playoffs
24,,Mozambique Shotgun,0,0,-,-,-,0h 0m 7s,DROPPED OG,Y3-Split2 ALGS-Playoffs
25,,Wingman,0,0,-,-,NAN%,0h 0m 3s,DROPPED OG,Y3-Split2 ALGS-Playoffs
26,,EVA-8 Auto,0,0,-,-,-,0h 0m 1s,DROPPED OG,Y3-Split2 ALGS-Playoffs
27,,Sentinel,0,0,-,-,NAN%,0h 0m 2s,DROPPED OG,Y3-Split2 ALGS-Playoffs
0,,Prowler Burst PDW,15,2634,1273,193,15.16%,0h 45m 47s,Frexs FAZE,Y3-Split2 ALGS-Playoffs
1,,Charge Rifle,3,5906,431,-,-,1h 46m 17s,Frexs FAZE,Y3-Split2 ALGS-Playoffs
2,,C.A.R. SMG,3,1735,852,137,16.08%,0h 16m 43s,Frexs FAZE,Y3-Split2 ALGS-Playoffs
3,,Triple Take,2,1032,130,-,-,0h 25m 37s,Frexs FAZE,Y3-Split2 ALGS-Playoffs
4,,G7 Scout,2,1266,494,41,8.3%,0h 28m 2s,Frexs FAZE,Y3-Split2 ALGS-Playoffs
5,,Alternator SMG,2,534,133,35,26.32%,0h 6m 29s,Frexs FAZE,Y3-Split2 ALGS-Playoffs
6,,R-99 SMG,2,659,350,79,22.57%,0h 9m 34s,Frexs FAZE,Y3-Split2 ALGS-Playoffs
7,,Longbow DMR,1,941,88,18,20.45%,0h 14m 10s,Frexs FAZE,Y3-Split2 ALGS-Playoffs
8,,30-30 Repeater,1,1866,361,42,11.63%,0h 45m 19s,Frexs FAZE,Y3-Split2 ALGS-Playoffs
9,,Volt SMG,1,1321,483,92,19.05%,0h 22m 55s,Frexs FAZE,Y3-Split2 ALGS-Playoffs
10,,Sentinel,1,615,16,9,56.25%,0h 5m 17s,Frexs FAZE,Y3-Split2 ALGS-Playoffs
11,,RE-45 Auto,0,17,6,2,33.33%,0h 2m 9s,Frexs FAZE,Y3-Split2 ALGS-Playoffs
12,,R-301 Carbine,0,223,213,19,8.92%,0h 14m 2s,Frexs FAZE,Y3-Split2 ALGS-Playoffs
13,,Mozambique Shotgun,0,0,-,-,-,0h 0m 8s,Frexs FAZE,Y3-Split2 ALGS-Playoffs
14,,VK-47 Flatline,0,0,-,-,NAN%,0h 0m 11s,Frexs FAZE,Y3-Split2 ALGS-Playoffs
15,,HAVOC Rifle,0,0,10,-,0%,0h 0m 34s,Frexs FAZE,Y3-Split2 ALGS-Playoffs
16,,Arc Star,0,284,-,9,-,0h 0m 0s,Frexs FAZE,Y3-Split2 ALGS-Playoffs
17,,EVA-8 Auto,0,0,-,-,-,0h 0m 24s,Frexs FAZE,Y3-Split2 ALGS-Playoffs
18,,Wingman,0,698,108,15,13.89%,0h 28m 1s,Frexs FAZE,Y3-Split2 ALGS-Playoffs
19,,P2020,0,0,2,-,0%,0h 0m 19s,Frexs FAZE,Y3-Split2 ALGS-Playoffs
20,,Mastiff Shotgun,0,0,-,-,-,0h 0m 10s,Frexs FAZE,Y3-Split2 ALGS-Playoffs
21,,Thermite Grenade,0,100,-,28,-,0h 0m 0s,Frexs FAZE,Y3-Split2 ALGS-Playoffs
22,,Nemesis Burst AR,0,1221,544,75,13.79%,0h 33m 31s,Frexs FAZE,Y3-Split2 ALGS-Playoffs
23,,Peacekeeper,0,510,20,-,-,0h 3m 1s,Frexs FAZE,Y3-Split2 ALGS-Playoffs
24,,M600 Spitfire,0,0,-,-,NAN%,0h 0m 7s,Frexs FAZE,Y3-Split2 ALGS-Playoffs
25,,Bocek Compound Bow,0,0,-,-,NAN%,0h 1m 52s,Frexs FAZE,Y3-Split2 ALGS-Playoffs
0,,C.A.R. SMG,2,820,573,67,11.69%,0h 6m 16s,N3LAS NOC,Y3-Split2 ALGS-Playoffs
1,,Wingman,2,551,102,14,13.73%,0h 11m 46s,N3LAS NOC,Y3-Split2 ALGS-Playoffs
2,,Alternator SMG,1,535,244,37,15.16%,0h 4m 9s,N3LAS NOC,Y3-Split2 ALGS-Playoffs
3,,Nemesis Burst AR,1,2305,1228,145,11.81%,0h 28m 16s,N3LAS NOC,Y3-Split2 ALGS-Playoffs
4,,Devotion LMG,0,199,-,14,-,0h 0m 5s,N3LAS NOC,Y3-Split2 ALGS-Playoffs
5,,P2020,0,0,-,-,NAN%,0h 0m 3s,N3LAS NOC,Y3-Split2 ALGS-Playoffs
6,,G7 Scout,0,32,-,1,-,0h 0m 9s,N3LAS NOC,Y3-Split2 ALGS-Playoffs
7,,Prowler Burst PDW,0,1224,464,81,17.46%,0h 5m 16s,N3LAS NOC,Y3-Split2 ALGS-Playoffs
8,,Peacekeeper,0,0,-,-,-,0h 0m 7s,N3LAS NOC,Y3-Split2 ALGS-Playoffs
9,,Mastiff Shotgun,0,0,4,-,-,0h 0m 15s,N3LAS NOC,Y3-Split2 ALGS-Playoffs
10,,M600 Spitfire,0,51,116,3,2.59%,0h 2m 44s,N3LAS NOC,Y3-Split2 ALGS-Playoffs
11,,HAVOC Rifle,0,0,8,-,0%,0h 0m 14s,N3LAS NOC,Y3-Split2 ALGS-Playoffs
12,,30-30 Repeater,0,0,33,-,0%,0h 0m 47s,N3LAS NOC,Y3-Split2 ALGS-Playoffs
13,,R-301 Carbine,0,288,217,25,11.52%,0h 3m 56s,N3LAS NOC,Y3-Split2 ALGS-Playoffs
14,,RE-45 Auto,0,0,9,-,0%,0h 0m 7s,N3LAS NOC,Y3-Split2 ALGS-Playoffs
15,,VK-47 Flatline,0,104,94,6,6.38%,0h 1m 52s,N3LAS NOC,Y3-Split2 ALGS-Playoffs
16,,Mozambique Shotgun,0,51,-,-,-,0h 0m 4s,N3LAS NOC,Y3-Split2 ALGS-Playoffs
17,,Volt SMG,0,0,57,-,0%,0h 1m 5s,N3LAS NOC,Y3-Split2 ALGS-Playoffs
18,,Longbow DMR,0,44,12,1,8.33%,0h 0m 32s,N3LAS NOC,Y3-Split2 ALGS-Playoffs
19,,EVA-8 Auto,0,0,-,-,-,0h 0m 7s,N3LAS NOC,Y3-Split2 ALGS-Playoffs
20,,Charge Rifle,0,191,16,-,-,0h 1m 20s,N3LAS NOC,Y3-Split2 ALGS-Playoffs
21,,Sentinel,0,0,-,-,NAN%,0h 0m 2s,N3LAS NOC,Y3-Split2 ALGS-Playoffs
22,,R-99 SMG,0,48,47,4,8.51%,0h 0m 55s,N3LAS NOC,Y3-Split2 ALGS-Playoffs
0,,Volt SMG,10,3190,885,226,25.54%,0h 20m 59s,Wxltzy MST,Y3-Split2 ALGS-Playoffs
1,,Nemesis Burst AR,6,2048,783,122,15.58%,0h 39m 59s,Wxltzy MST,Y3-Split2 ALGS-Playoffs
2,,Alternator SMG,5,1525,356,103,28.93%,0h 11m 19s,Wxltzy MST,Y3-Split2 ALGS-Playoffs
3,,Triple Take,4,3146,223,-,-,0h 34m 15s,Wxltzy MST,Y3-Split2 ALGS-Playoffs
4,,30-30 Repeater,4,2642,282,57,20.21%,0h 38m 26s,Wxltzy MST,Y3-Split2 ALGS-Playoffs
5,,Arc Star,3,402,-,15,-,0h 0m 0s,Wxltzy MST,Y3-Split2 ALGS-Playoffs
6,,R-99 SMG,3,476,164,40,24.39%,0h 3m 56s,Wxltzy MST,Y3-Split2 ALGS-Playoffs
7,,C.A.R. SMG,3,767,233,65,27.9%,0h 6m 45s,Wxltzy MST,Y3-Split2 ALGS-Playoffs
8,,R-301 Carbine,3,1273,495,103,20.81%,0h 12m 30s,Wxltzy MST,Y3-Split2 ALGS-Playoffs
9,,G7 Scout,2,2269,555,83,14.95%,0h 36m 29s,Wxltzy MST,Y3-Split2 ALGS-Playoffs
10,,Prowler Burst PDW,2,350,139,24,17.27%,0h 4m 36s,Wxltzy MST,Y3-Split2 ALGS-Playoffs
11,,HAVOC Rifle,2,1302,329,84,25.53%,0h 9m 51s,Wxltzy MST,Y3-Split2 ALGS-Playoffs
12,,VK-47 Flatline,1,1083,282,63,22.34%,0h 9m 19s,Wxltzy MST,Y3-Split2 ALGS-Playoffs
13,,RE-45 Auto,0,0,4,-,0%,0h 0m 12s,Wxltzy MST,Y3-Split2 ALGS-Playoffs
14,,Devotion LMG,0,0,-,-,NAN%,0h 0m 1s,Wxltzy MST,Y3-Split2 ALGS-Playoffs
15,,EVA-8 Auto,0,0,-,-,-,0h 0m 5s,Wxltzy MST,Y3-Split2 ALGS-Playoffs
16,,Charge Rifle,0,0,-,-,-,0h 0m 39s,Wxltzy MST,Y3-Split2 ALGS-Playoffs
17,,Wingman,0,116,13,2,15.38%,0h 3m 31s,Wxltzy MST,Y3-Split2 ALGS-Playoffs
18,,P2020,0,0,-,-,NAN%,0h 0m 5s,Wxltzy MST,Y3-Split2 ALGS-Playoffs
19,,Frag Grenade,0,111,-,3,-,0h 0m 0s,Wxltzy MST,Y3-Split2 ALGS-Playoffs
20,,Mozambique Shotgun,0,0,-,-,-,0h 0m 1s,Wxltzy MST,Y3-Split2 ALGS-Playoffs
21,,Thermite Grenade,0,225,-,63,-,0h 0m 0s,Wxltzy MST,Y3-Split2 ALGS-Playoffs
22,,Peacekeeper,0,0,-,-,-,0h 0m 1s,Wxltzy MST,Y3-Split2 ALGS-Playoffs
23,,M600 Spitfire,0,0,-,-,NAN%,0h 0m 2s,Wxltzy MST,Y3-Split2 ALGS-Playoffs
0,,Prowler Burst PDW,14,3784,1330,265,19.92%,0h 42m 20s,Gild NRG,Y3-Split2 ALGS-Playoffs
1,,C.A.R. SMG,3,1208,746,96,12.87%,0h 23m 12s,Gild NRG,Y3-Split2 ALGS-Playoffs
2,,Alternator SMG,3,231,150,18,12%,0h 7m 23s,Gild NRG,Y3-Split2 ALGS-Playoffs
3,,Nemesis Burst AR,3,3422,2311,209,9.04%,1h 32m 52s,Gild NRG,Y3-Split2 ALGS-Playoffs
4,,Volt SMG,3,591,177,42,23.73%,0h 8m 58s,Gild NRG,Y3-Split2 ALGS-Playoffs
5,,30-30 Repeater,2,2865,401,54,13.47%,0h 58m 11s,Gild NRG,Y3-Split2 ALGS-Playoffs
6,,G7 Scout,2,3445,672,105,15.63%,0h 53m 49s,Gild NRG,Y3-Split2 ALGS-Playoffs
7,,VK-47 Flatline,1,420,249,24,9.64%,0h 24m 6s,Gild NRG,Y3-Split2 ALGS-Playoffs
8,,Bocek Compound Bow,1,267,-,4,-,0h 2m 37s,Gild NRG,Y3-Split2 ALGS-Playoffs
9,,Hemlok Burst AR,1,283,-,14,-,0h 0m 0s,Gild NRG,Y3-Split2 ALGS-Playoffs
10,,R-301 Carbine,1,351,177,27,15.25%,0h 2m 28s,Gild NRG,Y3-Split2 ALGS-Playoffs
11,,Arc Star,0,626,-,16,-,0h 0m 0s,Gild NRG,Y3-Split2 ALGS-Playoffs
12,,P2020,0,0,4,-,0%,0h 0m 10s,Gild NRG,Y3-Split2 ALGS-Playoffs
13,,Longbow DMR,0,0,6,-,0%,0h 0m 17s,Gild NRG,Y3-Split2 ALGS-Playoffs
14,,Triple Take,0,445,41,-,-,0h 11m 31s,Gild NRG,Y3-Split2 ALGS-Playoffs
15,,Charge Rifle,0,0,-,-,-,0h 0m 15s,Gild NRG,Y3-Split2 ALGS-Playoffs
16,,RE-45 Auto,0,0,29,-,0%,0h 2m 47s,Gild NRG,Y3-Split2 ALGS-Playoffs
17,,R-99 SMG,0,604,301,52,17.28%,0h 6m 32s,Gild NRG,Y3-Split2 ALGS-Playoffs
18,,M600 Spitfire,0,0,46,-,0%,0h 0m 28s,Gild NRG,Y3-Split2 ALGS-Playoffs
19,,Wingman,0,0,3,-,0%,0h 1m 22s,Gild NRG,Y3-Split2 ALGS-Playoffs
20,,Mastiff Shotgun,0,0,-,-,-,0h 0m 13s,Gild NRG,Y3-Split2 ALGS-Playoffs
21,,HAVOC Rifle,0,0,16,-,0%,0h 0m 37s,Gild NRG,Y3-Split2 ALGS-Playoffs
22,,Peacekeeper,0,0,-,-,-,0h 0m 6s,Gild NRG,Y3-Split2 ALGS-Playoffs
23,,Devotion LMG,0,0,14,-,0%,0h 0m 14s,Gild NRG,Y3-Split2 ALGS-Playoffs
24,,Frag Grenade,0,13,-,1,-,0h 0m 0s,Gild NRG,Y3-Split2 ALGS-Playoffs
25,,EVA-8 Auto,0,0,-,-,-,0h 0m 7s,Gild NRG,Y3-Split2 ALGS-Playoffs
26,,Mozambique Shotgun,0,0,-,-,-,0h 0m 15s,Gild NRG,Y3-Split2 ALGS-Playoffs
0,,Prowler Burst PDW,29,9572,3945,670,16.98%,0h 59m 53s,taskmast33r FRBV,Y3-Split2 ALGS-Playoffs
1,,Nemesis Burst AR,8,14930,7192,939,13.06%,2h 26m 0s,taskmast33r FRBV,Y3-Split2 ALGS-Playoffs
2,,30-30 Repeater,2,362,88,10,11.36%,0h 2m 36s,taskmast33r FRBV,Y3-Split2 ALGS-Playoffs
3,,L-STAR EMG,2,267,-,15,-,0h 0m 0s,taskmast33r FRBV,Y3-Split2 ALGS-Playoffs
4,,Frag Grenade,1,362,-,9,-,0h 0m 0s,taskmast33r FRBV,Y3-Split2 ALGS-Playoffs
5,,Arc Star,1,640,-,24,-,0h 0m 0s,taskmast33r FRBV,Y3-Split2 ALGS-Playoffs
6,,Thermite Grenade,1,191,-,53,-,0h 0m 0s,taskmast33r FRBV,Y3-Split2 ALGS-Playoffs
7,,VK-47 Flatline,0,0,171,-,0%,0h 2m 31s,taskmast33r FRBV,Y3-Split2 ALGS-Playoffs
8,,Volt SMG,0,189,72,14,19.44%,0h 1m 34s,taskmast33r FRBV,Y3-Split2 ALGS-Playoffs
9,,C.A.R. SMG,0,15,275,1,0.36%,0h 2m 34s,taskmast33r FRBV,Y3-Split2 ALGS-Playoffs
10,,Alternator SMG,0,0,3,-,0%,0h 0m 39s,taskmast33r FRBV,Y3-Split2 ALGS-Playoffs
11,,HAVOC Rifle,0,36,121,2,1.65%,0h 2m 20s,taskmast33r FRBV,Y3-Split2 ALGS-Playoffs
12,,Devotion LMG,0,0,16,-,0%,0h 0m 27s,taskmast33r FRBV,Y3-Split2 ALGS-Playoffs
13,,Triple Take,0,42,12,-,-,0h 1m 14s,taskmast33r FRBV,Y3-Split2 ALGS-Playoffs
14,,Mozambique Shotgun,0,0,15,-,-,0h 0m 14s,taskmast33r FRBV,Y3-Split2 ALGS-Playoffs
15,,R-301 Carbine,0,0,10,-,0%,0h 0m 22s,taskmast33r FRBV,Y3-Split2 ALGS-Playoffs
16,,Mastiff Shotgun,0,0,4,-,-,0h 0m 5s,taskmast33r FRBV,Y3-Split2 ALGS-Playoffs
17,,Peacekeeper,0,0,5,-,-,0h 0m 12s,taskmast33r FRBV,Y3-Split2 ALGS-Playoffs
18,,G7 Scout,0,0,-,-,NAN%,0h 0m 1s,taskmast33r FRBV,Y3-Split2 ALGS-Playoffs
19,,Wingman,0,0,1,-,0%,0h 0m 9s,taskmast33r FRBV,Y3-Split2 ALGS-Playoffs
20,,EVA-8 Auto,0,0,-,-,-,0h 0m 9s,taskmast33r FRBV,Y3-Split2 ALGS-Playoffs
21,,M600 Spitfire,0,0,-,-,NAN%,0h 0m 3s,taskmast33r FRBV,Y3-Split2 ALGS-Playoffs
0,,C.A.R. SMG,4,2186,1497,172,11.49%,0h 34m 55s,p1nky NK,Y3-Split2 ALGS-Playoffs
1,,30-30 Repeater,4,2912,571,80,14.01%,0h 58m 26s,p1nky NK,Y3-Split2 ALGS-Playoffs
2,,VK-47 Flatline,3,719,240,42,17.5%,0h 12m 49s,p1nky NK,Y3-Split2 ALGS-Playoffs
3,,R-99 SMG,2,709,268,64,23.88%,0h 8m 1s,p1nky NK,Y3-Split2 ALGS-Playoffs
4,,Prowler Burst PDW,1,909,325,64,19.69%,0h 19m 15s,p1nky NK,Y3-Split2 ALGS-Playoffs
5,,L-STAR EMG,1,86,-,6,-,0h 0m 0s,p1nky NK,Y3-Split2 ALGS-Playoffs
6,,RE-45 Auto,0,129,48,11,22.92%,0h 0m 55s,p1nky NK,Y3-Split2 ALGS-Playoffs
7,,Nemesis Burst AR,0,103,80,7,8.75%,0h 6m 8s,p1nky NK,Y3-Split2 ALGS-Playoffs
8,,HAVOC Rifle,0,0,-,-,NAN%,0h 0m 4s,p1nky NK,Y3-Split2 ALGS-Playoffs
9,,Triple Take,0,160,18,-,-,0h 7m 1s,p1nky NK,Y3-Split2 ALGS-Playoffs
10,,Thermite Grenade,0,218,-,62,-,0h 0m 0s,p1nky NK,Y3-Split2 ALGS-Playoffs
11,,Mastiff Shotgun,0,0,-,-,-,0h 0m 7s,p1nky NK,Y3-Split2 ALGS-Playoffs
12,,Wingman,0,440,66,8,12.12%,0h 9m 36s,p1nky NK,Y3-Split2 ALGS-Playoffs
13,,Peacekeeper,0,0,-,-,-,0h 0m 2s,p1nky NK,Y3-Split2 ALGS-Playoffs
14,,M600 Spitfire,0,0,-,-,NAN%,0h 0m 7s,p1nky NK,Y3-Split2 ALGS-Playoffs
15,,Longbow DMR,0,0,9,-,0%,0h 0m 21s,p1nky NK,Y3-Split2 ALGS-Playoffs
16,,Frag Grenade,0,227,-,7,-,0h 0m 0s,p1nky NK,Y3-Split2 ALGS-Playoffs
17,,Alternator SMG,0,0,23,-,0%,0h 1m 15s,p1nky NK,Y3-Split2 ALGS-Playoffs
18,,Arc Star,0,280,-,8,-,0h 0m 0s,p1nky NK,Y3-Split2 ALGS-Playoffs
19,,EVA-8 Auto,0,0,-,-,-,0h 0m 4s,p1nky NK,Y3-Split2 ALGS-Playoffs
20,,Kraber .50-Cal Sniper,0,95,-,1,-,0h 1m 34s,p1nky NK,Y3-Split2 ALGS-Playoffs
21,,G7 Scout,0,355,94,11,11.7%,0h 7m 2s,p1nky NK,Y3-Split2 ALGS-Playoffs
22,,R-301 Carbine,0,0,12,-,0%,0h 0m 36s,p1nky NK,Y3-Split2 ALGS-Playoffs
23,,Devotion LMG,0,0,-,-,NAN%,0h 0m 4s,p1nky NK,Y3-Split2 ALGS-Playoffs
24,,P2020,0,0,4,-,0%,0h 0m 14s,p1nky NK,Y3-Split2 ALGS-Playoffs
25,,Charge Rifle,0,532,58,-,-,0h 21m 11s,p1nky NK,Y3-Split2 ALGS-Playoffs
26,,Sentinel,0,0,-,-,NAN%,0h 0m 7s,p1nky NK,Y3-Split2 ALGS-Playoffs
0,,Prowler Burst PDW,5,2146,963,147,15.26%,0h 23m 4s,Rakiiii ONIC,Y3-Split2 ALGS-Playoffs
1,,Charge Rifle,3,837,69,-,-,0h 7m 0s,Rakiiii ONIC,Y3-Split2 ALGS-Playoffs
2,,Volt SMG,3,1215,371,85,22.91%,0h 7m 51s,Rakiiii ONIC,Y3-Split2 ALGS-Playoffs
3,,Nemesis Burst AR,2,1420,594,102,17.17%,0h 20m 23s,Rakiiii ONIC,Y3-Split2 ALGS-Playoffs
4,,G7 Scout,2,1277,259,42,16.22%,0h 14m 6s,Rakiiii ONIC,Y3-Split2 ALGS-Playoffs
5,,Arc Star,2,156,-,7,-,0h 0m 0s,Rakiiii ONIC,Y3-Split2 ALGS-Playoffs
6,,R-301 Carbine,1,595,352,51,14.49%,0h 19m 29s,Rakiiii ONIC,Y3-Split2 ALGS-Playoffs
7,,C.A.R. SMG,1,470,445,40,8.99%,0h 6m 3s,Rakiiii ONIC,Y3-Split2 ALGS-Playoffs
8,,Frag Grenade,1,359,-,6,-,0h 0m 0s,Rakiiii ONIC,Y3-Split2 ALGS-Playoffs
9,,VK-47 Flatline,1,1235,539,74,13.73%,0h 13m 55s,Rakiiii ONIC,Y3-Split2 ALGS-Playoffs
10,,30-30 Repeater,1,1789,267,40,14.98%,0h 17m 34s,Rakiiii ONIC,Y3-Split2 ALGS-Playoffs
11,,Peacekeeper,1,317,11,-,-,0h 4m 1s,Rakiiii ONIC,Y3-Split2 ALGS-Playoffs
12,,HAVOC Rifle,0,115,27,7,25.93%,0h 1m 2s,Rakiiii ONIC,Y3-Split2 ALGS-Playoffs
13,,P2020,0,72,24,4,16.67%,0h 0m 22s,Rakiiii ONIC,Y3-Split2 ALGS-Playoffs
14,,Mastiff Shotgun,0,176,9,-,-,0h 2m 43s,Rakiiii ONIC,Y3-Split2 ALGS-Playoffs
15,,Wingman,0,308,69,7,10.14%,0h 10m 49s,Rakiiii ONIC,Y3-Split2 ALGS-Playoffs
16,,M600 Spitfire,0,0,65,-,0%,0h 1m 11s,Rakiiii ONIC,Y3-Split2 ALGS-Playoffs
17,,Longbow DMR,0,1064,133,17,12.78%,0h 16m 32s,Rakiiii ONIC,Y3-Split2 ALGS-Playoffs
18,,Alternator SMG,0,205,75,12,16%,0h 1m 12s,Rakiiii ONIC,Y3-Split2 ALGS-Playoffs
19,,Mozambique Shotgun,0,123,4,-,-,0h 0m 12s,Rakiiii ONIC,Y3-Split2 ALGS-Playoffs
20,,R-99 SMG,0,0,8,-,0%,0h 0m 41s,Rakiiii ONIC,Y3-Split2 ALGS-Playoffs
21,,RE-45 Auto,0,0,-,-,NAN%,0h 0m 9s,Rakiiii ONIC,Y3-Split2 ALGS-Playoffs
22,,Triple Take,0,516,57,-,-,0h 7m 33s,Rakiiii ONIC,Y3-Split2 ALGS-Playoffs
23,,EVA-8 Auto,0,0,-,-,-,0h 0m 6s,Rakiiii ONIC,Y3-Split2 ALGS-Playoffs
0,,HAVOC Rifle,4,3176,1559,181,11.61%,0h 27m 13s,cleaveee AUR,Y3-Split2 ALGS-Playoffs
1,,EVA-8 Auto,4,734,67,-,-,0h 3m 44s,cleaveee AUR,Y3-Split2 ALGS-Playoffs
2,,Alternator SMG,3,575,370,35,9.46%,0h 3m 6s,cleaveee AUR,Y3-Split2 ALGS-Playoffs
3,,C.A.R. SMG,3,423,317,34,10.73%,0h 4m 3s,cleaveee AUR,Y3-Split2 ALGS-Playoffs
4,,Triple Take,2,345,44,-,-,0h 3m 28s,cleaveee AUR,Y3-Split2 ALGS-Playoffs
5,,Frag Grenade,2,276,-,4,-,0h 0m 0s,cleaveee AUR,Y3-Split2 ALGS-Playoffs
6,,Prowler Burst PDW,2,618,322,40,12.42%,0h 5m 54s,cleaveee AUR,Y3-Split2 ALGS-Playoffs
7,,Nemesis Burst AR,1,3982,1948,244,12.53%,0h 50m 51s,cleaveee AUR,Y3-Split2 ALGS-Playoffs
8,,M600 Spitfire,1,227,44,15,34.09%,0h 0m 40s,cleaveee AUR,Y3-Split2 ALGS-Playoffs
9,,Peacekeeper,1,254,19,-,-,0h 5m 28s,cleaveee AUR,Y3-Split2 ALGS-Playoffs
10,,R-99 SMG,1,376,187,32,17.11%,0h 2m 33s,cleaveee AUR,Y3-Split2 ALGS-Playoffs
11,,VK-47 Flatline,0,191,76,10,13.16%,0h 1m 51s,cleaveee AUR,Y3-Split2 ALGS-Playoffs
12,,Thermite Grenade,0,69,-,21,-,0h 0m 0s,cleaveee AUR,Y3-Split2 ALGS-Playoffs
13,,G7 Scout,0,27,10,1,10%,0h 0m 55s,cleaveee AUR,Y3-Split2 ALGS-Playoffs
14,,Arc Star,0,171,-,5,-,0h 0m 0s,cleaveee AUR,Y3-Split2 ALGS-Playoffs
15,,30-30 Repeater,0,1343,285,34,11.93%,0h 16m 58s,cleaveee AUR,Y3-Split2 ALGS-Playoffs
16,,Charge Rifle,0,229,24,-,-,0h 0m 57s,cleaveee AUR,Y3-Split2 ALGS-Playoffs
17,,Mastiff Shotgun,0,0,-,-,-,0h 0m 29s,cleaveee AUR,Y3-Split2 ALGS-Playoffs
18,,P2020,0,54,-,3,-,0h 0m 4s,cleaveee AUR,Y3-Split2 ALGS-Playoffs
19,,RE-45 Auto,0,439,196,37,18.88%,0h 2m 52s,cleaveee AUR,Y3-Split2 ALGS-Playoffs
20,,R-301 Carbine,0,929,468,66,14.1%,0h 17m 34s,cleaveee AUR,Y3-Split2 ALGS-Playoffs
21,,Volt SMG,0,208,269,15,5.58%,0h 4m 7s,cleaveee AUR,Y3-Split2 ALGS-Playoffs
22,,Mozambique Shotgun,0,151,30,-,-,0h 1m 35s,cleaveee AUR,Y3-Split2 ALGS-Playoffs
23,,Devotion LMG,0,0,-,-,NAN%,0h 0m 5s,cleaveee AUR,Y3-Split2 ALGS-Playoffs
24,,Wingman,0,90,23,2,8.7%,0h 2m 44s,cleaveee AUR,Y3-Split2 ALGS-Playoffs
25,,Longbow DMR,0,0,-,-,NAN%,0h 0m 7s,cleaveee AUR,Y3-Split2 ALGS-Playoffs
0,,C.A.R. SMG,6,2222,1231,188,15.27%,0h 22m 55s,Onmuu 100T,Y3-Split2 ALGS-Playoffs
1,,Wingman,4,2119,340,52,15.29%,0h 35m 48s,Onmuu 100T,Y3-Split2 ALGS-Playoffs
2,,Nemesis Burst AR,3,2840,1263,174,13.78%,0h 43m 5s,Onmuu 100T,Y3-Split2 ALGS-Playoffs
3,,VK-47 Flatline,2,852,460,51,11.09%,0h 12m 50s,Onmuu 100T,Y3-Split2 ALGS-Playoffs
4,,Volt SMG,2,995,444,74,16.67%,0h 9m 25s,Onmuu 100T,Y3-Split2 ALGS-Playoffs
5,,Charge Rifle,2,5156,318,-,-,0h 45m 35s,Onmuu 100T,Y3-Split2 ALGS-Playoffs
6,,Alternator SMG,2,730,144,49,34.03%,0h 6m 0s,Onmuu 100T,Y3-Split2 ALGS-Playoffs
7,,30-30 Repeater,2,596,74,14,18.92%,0h 5m 10s,Onmuu 100T,Y3-Split2 ALGS-Playoffs
8,,Hemlok Burst AR,2,633,-,45,-,0h 0m 0s,Onmuu 100T,Y3-Split2 ALGS-Playoffs
9,,Mastiff Shotgun,1,340,12,-,-,0h 2m 8s,Onmuu 100T,Y3-Split2 ALGS-Playoffs
10,,R-99 SMG,0,912,305,77,25.25%,0h 10m 29s,Onmuu 100T,Y3-Split2 ALGS-Playoffs
11,,EVA-8 Auto,0,0,2,-,-,0h 0m 14s,Onmuu 100T,Y3-Split2 ALGS-Playoffs
12,,Prowler Burst PDW,0,1243,760,88,11.58%,0h 19m 34s,Onmuu 100T,Y3-Split2 ALGS-Playoffs
13,,RE-45 Auto,0,0,-,-,NAN%,0h 0m 15s,Onmuu 100T,Y3-Split2 ALGS-Playoffs
14,,Frag Grenade,0,330,-,4,-,0h 0m 0s,Onmuu 100T,Y3-Split2 ALGS-Playoffs
15,,Arc Star,0,202,-,7,-,0h 0m 0s,Onmuu 100T,Y3-Split2 ALGS-Playoffs
16,,Longbow DMR,0,147,17,3,17.65%,0h 3m 27s,Onmuu 100T,Y3-Split2 ALGS-Playoffs
17,,Triple Take,0,305,28,-,-,0h 4m 15s,Onmuu 100T,Y3-Split2 ALGS-Playoffs
18,,P2020,0,0,-,-,NAN%,0h 0m 11s,Onmuu 100T,Y3-Split2 ALGS-Playoffs
19,,Thermite Grenade,0,100,-,28,-,0h 0m 0s,Onmuu 100T,Y3-Split2 ALGS-Playoffs
20,,Peacekeeper,0,0,12,-,-,0h 0m 7s,Onmuu 100T,Y3-Split2 ALGS-Playoffs
21,,Sentinel,0,1597,69,21,30.43%,0h 19m 54s,Onmuu 100T,Y3-Split2 ALGS-Playoffs
22,,G7 Scout,0,159,123,6,4.88%,0h 6m 43s,Onmuu 100T,Y3-Split2 ALGS-Playoffs
